training_date,employee_id,training_category,training_hours,training_cost,completion_status
2023-08-31,EMP00110,Leadership,2.3,4884.19,Completed
2023-09-30,EMP00110,Data Literacy,11.93,11724.19,In Progress
2023-10-31,EMP00110,Cybersecurity,4.02,6541.35,Completed
2024-02-29,EMP00110,Cybersecurity,11.44,16912.4,Completed
2024-06-30,EMP00110,Cybersecurity,19.85,26924.93,Completed
2024-07-31,EMP00110,Technical Skills,19.01,31189.92,Completed
2024-08-31,EMP00110,Cybersecurity,11.47,17839.3,Completed
2024-10-31,EMP00110,Leadership,3.13,2864.95,Completed
2022-01-31,EMP00111,Technical Skills,9.37,20506.16,Completed
2022-03-31,EMP00111,Technical Skills,21.46,17657.95,Completed
2022-08-31,EMP00111,Communication,20.49,24761.89,Completed
2022-10-31,EMP00111,Cybersecurity,18.65,40337.69,Completed
2022-11-30,EMP00111,Cybersecurity,21.84,23742.23,In Progress
2023-02-28,EMP00111,Technical Skills,20.61,34387.4,In Progress
2023-03-31,EMP00111,Communication,2.63,2661.72,Completed
2023-07-31,EMP00111,Leadership,17.67,30989.04,In Progress
2024-01-31,EMP00111,Technical Skills,7.62,10319.07,Completed
2024-10-31,EMP00111,Data Literacy,12.76,24399.1,Completed
2024-12-31,EMP00111,Technical Skills,14.43,24414.28,Completed
2022-02-28,EMP00112,Compliance,3.12,5909.85,Completed
2022-03-31,EMP00112,Technical Skills,18.39,20145.98,Completed
2022-05-31,EMP00112,Leadership,15.3,26776.87,Completed
2022-07-31,EMP00112,Leadership,21.55,41552.0,Completed
2022-09-30,EMP00112,Technical Skills,2.06,2010.63,Completed
2022-10-31,EMP00112,Data Literacy,18.29,31023.98,Completed
2023-02-28,EMP00112,Leadership,2.51,2025.68,Completed
2023-05-31,EMP00112,Compliance,3.78,2934.06,Completed
2023-07-31,EMP00112,Leadership,15.2,20149.59,Completed
2023-09-30,EMP00112,Communication,18.83,22797.34,Completed
2023-12-31,EMP00112,Cybersecurity,22.41,40747.65,Completed
2024-05-31,EMP00112,Communication,23.79,42331.81,Completed
2024-09-30,EMP00112,Cybersecurity,6.99,13621.43,Completed
2024-12-31,EMP00112,Cybersecurity,22.61,18817.09,Completed
2022-04-30,EMP00113,Data Literacy,11.87,18522.28,Completed
2022-05-31,EMP00113,Communication,19.39,42280.9,Completed
2022-10-31,EMP00113,Data Literacy,8.71,10947.02,Completed
2022-11-30,EMP00113,Cybersecurity,17.63,28864.41,In Progress
2022-12-31,EMP00113,Technical Skills,16.15,10025.09,Completed
2023-04-30,EMP00113,Cybersecurity,15.25,10523.29,Completed
2023-10-31,EMP00113,Cybersecurity,20.55,42028.15,In Progress
2024-01-31,EMP00113,Technical Skills,17.91,26646.03,Completed
2024-02-29,EMP00113,Technical Skills,2.19,4018.43,Completed
2024-05-31,EMP00113,Cybersecurity,15.45,30683.54,Completed
2024-09-30,EMP00113,Technical Skills,16.22,28806.08,In Progress
2022-02-28,EMP00114,Cybersecurity,8.15,15432.97,Completed
2022-05-31,EMP00114,Compliance,12.89,11702.17,Completed
2022-06-30,EMP00114,Leadership,17.06,27257.49,Completed
2022-11-30,EMP00114,Data Literacy,10.44,15763.25,Completed
2023-02-28,EMP00114,Cybersecurity,6.13,7700.37,Completed
2023-12-31,EMP00114,Communication,4.74,7011.01,Completed
2024-01-31,EMP00114,Technical Skills,14.11,29902.81,Completed
2024-04-30,EMP00114,Cybersecurity,20.77,33812.82,In Progress
2024-05-31,EMP00114,Communication,21.98,16029.35,Dropped
2022-01-31,EMP00115,Cybersecurity,18.49,18912.86,Completed
2022-07-31,EMP00115,Cybersecurity,10.96,16383.67,Completed
2022-08-31,EMP00115,Cybersecurity,20.48,13000.23,Completed
2023-01-31,EMP00115,Compliance,16.96,15909.43,Completed
2024-01-31,EMP00115,Communication,11.27,13157.8,Completed
2024-02-29,EMP00115,Communication,18.86,30982.93,Completed
2024-05-31,EMP00115,Data Literacy,23.63,44442.93,Completed
2024-06-30,EMP00115,Communication,11.46,7460.77,Completed
2024-10-31,EMP00115,Leadership,17.02,18879.44,Completed
2022-04-30,EMP00116,Cybersecurity,15.61,16265.03,Completed
2022-05-31,EMP00116,Cybersecurity,6.09,7773.89,Completed
2022-06-30,EMP00116,Compliance,3.21,2271.31,In Progress
2022-07-31,EMP00116,Technical Skills,6.69,10337.72,Completed
2022-08-31,EMP00116,Communication,8.58,9299.97,Completed
2022-10-31,EMP00116,Compliance,23.83,34783.05,Completed
2022-12-31,EMP00116,Compliance,13.31,12151.4,In Progress
2023-01-31,EMP00116,Technical Skills,22.92,48064.71,Completed
2023-08-31,EMP00116,Leadership,23.84,50941.97,Completed
2023-11-30,EMP00116,Leadership,20.49,36406.81,Completed
2024-03-31,EMP00116,Cybersecurity,4.2,2838.88,Dropped
2024-08-31,EMP00116,Leadership,22.57,46669.74,Completed
2022-02-28,EMP00117,Compliance,12.92,24281.97,Completed
2022-06-30,EMP00117,Technical Skills,14.24,29944.46,Completed
2022-12-31,EMP00117,Cybersecurity,14.75,14919.35,Completed
2023-01-31,EMP00117,Leadership,4.06,4962.48,Completed
2023-05-31,EMP00117,Data Literacy,2.51,1860.15,Completed
2023-07-31,EMP00117,Leadership,6.56,5208.67,Completed
2024-06-30,EMP00117,Data Literacy,13.31,17081.39,Completed
2024-08-31,EMP00117,Data Literacy,6.81,14693.98,Completed
2022-01-31,EMP00118,Communication,9.11,7219.5,Completed
2022-08-31,EMP00118,Compliance,18.71,34931.73,Completed
2022-10-31,EMP00118,Cybersecurity,21.23,45715.1,Completed
2022-11-30,EMP00118,Compliance,21.15,27533.36,Completed
2022-12-31,EMP00118,Compliance,11.17,6983.89,Completed
2023-04-30,EMP00118,Data Literacy,3.39,5284.61,Completed
2024-04-30,EMP00118,Cybersecurity,9.4,14218.28,Completed
2024-05-31,EMP00118,Leadership,12.59,14838.97,Completed
2024-10-31,EMP00118,Data Literacy,12.2,9759.79,Completed
2024-12-31,EMP00118,Cybersecurity,7.77,11332.51,Completed
2022-08-31,EMP00119,Technical Skills,7.24,12935.43,Completed
2023-02-28,EMP00119,Communication,4.22,3057.53,Completed
2023-05-31,EMP00119,Data Literacy,8.88,14988.08,Completed
2023-08-31,EMP00119,Cybersecurity,19.5,33640.81,Completed
2023-09-30,EMP00119,Leadership,23.27,22543.38,Completed
2023-10-31,EMP00119,Technical Skills,3.04,4100.82,In Progress
2024-01-31,EMP00119,Cybersecurity,7.9,16915.68,Completed
2024-03-31,EMP00119,Leadership,13.3,28713.3,Completed
2024-05-31,EMP00119,Data Literacy,21.01,30190.19,Completed
2024-07-31,EMP00119,Technical Skills,19.71,14431.14,Completed
2024-11-30,EMP00119,Compliance,22.34,17313.52,Completed
2022-04-30,EMP00120,Compliance,23.45,47815.5,Completed
2022-09-30,EMP00120,Communication,6.08,4560.58,Completed
2023-01-31,EMP00120,Data Literacy,3.83,2524.77,Completed
2023-03-31,EMP00120,Cybersecurity,23.96,41409.3,Completed
2022-02-28,EMP00121,Compliance,5.85,12502.39,In Progress
2022-03-31,EMP00121,Technical Skills,10.83,6557.73,Completed
2022-04-30,EMP00121,Cybersecurity,13.22,15691.37,Completed
2022-06-30,EMP00121,Data Literacy,16.05,9739.44,Completed
2022-07-31,EMP00121,Compliance,9.44,9496.2,Completed
2022-09-30,EMP00121,Leadership,14.57,17312.5,In Progress
2022-10-31,EMP00121,Data Literacy,11.98,16633.64,Completed
2022-11-30,EMP00121,Data Literacy,11.94,8252.62,Completed
2022-12-31,EMP00121,Technical Skills,18.74,30169.8,Completed
2023-01-31,EMP00121,Data Literacy,11.98,23149.74,Completed
2023-02-28,EMP00121,Compliance,9.14,19437.76,In Progress
2023-04-30,EMP00121,Communication,18.47,32435.16,Completed
2023-07-31,EMP00121,Leadership,23.8,29017.6,In Progress
2023-09-30,EMP00121,Leadership,3.13,6652.44,Completed
2023-10-31,EMP00121,Cybersecurity,9.72,11141.77,Completed
2024-06-30,EMP00121,Communication,14.96,30023.92,Completed
2024-07-31,EMP00121,Communication,18.7,40791.61,Completed
2024-08-31,EMP00121,Data Literacy,23.27,38280.38,Completed
2024-12-31,EMP00121,Technical Skills,6.2,8061.45,In Progress
2022-02-28,EMP00122,Communication,20.95,21449.48,Completed
2022-05-31,EMP00122,Communication,11.02,24126.89,Dropped
2022-07-31,EMP00122,Technical Skills,17.89,37954.15,Completed
2022-08-31,EMP00122,Leadership,15.67,27380.68,Completed
2022-11-30,EMP00122,Compliance,19.54,17153.97,Completed
2022-12-31,EMP00122,Technical Skills,13.92,19634.07,Completed
2023-01-31,EMP00122,Communication,8.87,15040.32,Completed
2023-03-31,EMP00122,Compliance,13.66,21736.1,Completed
2023-06-30,EMP00122,Cybersecurity,10.76,14741.74,In Progress
2023-10-31,EMP00122,Communication,23.51,19881.15,Completed
2024-02-29,EMP00122,Technical Skills,3.02,5911.4,Completed
2024-09-30,EMP00123,Compliance,20.92,33392.87,Completed
2023-05-31,EMP00124,Compliance,4.76,6442.38,In Progress
2023-07-31,EMP00124,Technical Skills,10.92,18686.7,Dropped
2023-08-31,EMP00124,Leadership,6.86,12698.03,Completed
2023-09-30,EMP00124,Technical Skills,4.39,7626.27,Completed
2024-02-29,EMP00124,Data Literacy,16.02,30990.73,Dropped
2024-03-31,EMP00124,Compliance,7.48,11610.5,Completed
2024-05-31,EMP00124,Leadership,17.83,14784.62,Completed
2024-08-31,EMP00124,Compliance,5.87,5856.7,Completed
2024-10-31,EMP00124,Data Literacy,10.81,6818.51,Completed
2022-07-31,EMP00125,Compliance,7.47,15216.64,Completed
2022-08-31,EMP00125,Technical Skills,5.36,9717.92,In Progress
2022-09-30,EMP00125,Compliance,2.99,6175.45,Completed
2022-10-31,EMP00125,Leadership,12.72,9459.09,In Progress
2023-01-31,EMP00125,Data Literacy,15.65,18688.25,Completed
2023-09-30,EMP00125,Communication,4.95,9718.43,Completed
2023-10-31,EMP00125,Technical Skills,2.2,4062.45,Completed
2023-11-30,EMP00125,Data Literacy,14.37,17483.4,Completed
2024-01-31,EMP00125,Data Literacy,2.83,1897.83,In Progress
2024-03-31,EMP00125,Compliance,19.58,39812.6,Completed
2024-04-30,EMP00125,Data Literacy,12.41,18082.0,Completed
2024-05-31,EMP00125,Compliance,15.81,26202.57,Completed
2024-06-30,EMP00125,Leadership,2.26,4788.47,Completed
2024-08-31,EMP00125,Technical Skills,15.91,21207.43,Completed
2024-12-31,EMP00125,Communication,10.34,14725.85,Completed
2022-01-31,EMP00126,Compliance,9.8,6592.4,Completed
2022-02-28,EMP00126,Leadership,13.08,27020.25,Completed
2022-03-31,EMP00126,Compliance,18.69,17611.31,Completed
2022-06-30,EMP00126,Leadership,5.16,8584.48,Completed
2022-07-31,EMP00126,Cybersecurity,3.27,3751.88,Completed
2022-08-31,EMP00126,Data Literacy,14.9,22065.39,Completed
2023-03-31,EMP00126,Leadership,13.48,25308.91,Completed
2023-05-31,EMP00126,Technical Skills,21.73,23015.37,Completed
2023-12-31,EMP00126,Data Literacy,19.83,39041.6,Completed
2024-03-31,EMP00126,Leadership,20.43,40745.18,In Progress
2024-10-31,EMP00126,Leadership,8.18,7499.48,Completed
2024-12-31,EMP00126,Compliance,16.0,20990.32,Completed
2022-01-31,EMP00127,Cybersecurity,8.05,5445.23,Dropped
2022-08-31,EMP00127,Leadership,17.58,21607.49,Dropped
2022-12-31,EMP00127,Leadership,23.92,37413.2,Completed
2023-01-31,EMP00127,Communication,2.82,5892.77,Completed
2023-10-31,EMP00127,Leadership,7.9,8452.68,In Progress
2022-01-31,EMP00128,Cybersecurity,13.42,22300.65,Completed
2022-05-31,EMP00128,Cybersecurity,10.49,8168.24,Completed
2022-06-30,EMP00128,Data Literacy,21.12,38467.08,Completed
2022-10-31,EMP00128,Leadership,23.8,50797.15,Completed
2023-01-31,EMP00128,Data Literacy,4.76,9564.45,Completed
2023-08-31,EMP00128,Leadership,2.16,3600.49,Completed
2023-10-31,EMP00128,Compliance,19.33,41534.54,Completed
2023-11-30,EMP00128,Leadership,16.8,25026.39,Completed
2024-04-30,EMP00128,Technical Skills,4.78,3417.29,Dropped
2024-05-31,EMP00128,Leadership,13.58,29529.42,In Progress
2024-06-30,EMP00128,Communication,7.76,6100.83,Completed
2024-08-31,EMP00128,Technical Skills,5.24,9696.54,Completed
2024-09-30,EMP00128,Cybersecurity,19.71,37213.84,In Progress
2024-11-30,EMP00128,Technical Skills,22.6,24878.85,In Progress
2023-08-31,EMP00129,Communication,7.67,12026.56,Completed
2023-12-31,EMP00129,Cybersecurity,7.86,9622.82,Completed
2024-02-29,EMP00129,Compliance,13.19,9443.2,Completed
2024-10-31,EMP00129,Leadership,9.95,21193.35,Completed
2024-11-30,EMP00129,Cybersecurity,14.29,20263.82,Completed
2024-12-31,EMP00129,Cybersecurity,11.71,20446.02,Dropped
2022-01-31,EMP00130,Technical Skills,2.14,3397.23,In Progress
2022-03-31,EMP00130,Communication,9.18,7814.17,Completed
2022-05-31,EMP00130,Leadership,15.61,26565.36,Completed
2022-07-31,EMP00130,Cybersecurity,16.39,15889.48,Completed
2022-12-31,EMP00130,Leadership,7.59,7935.47,Completed
2023-01-31,EMP00130,Communication,2.09,3547.23,Completed
2023-03-31,EMP00130,Leadership,14.9,15989.92,Completed
2023-06-30,EMP00130,Cybersecurity,19.45,28869.23,Completed
2023-08-31,EMP00130,Cybersecurity,20.72,22578.58,Dropped
2023-09-30,EMP00130,Compliance,19.08,36391.55,Completed
2024-01-31,EMP00130,Data Literacy,11.5,21606.62,In Progress
2024-06-30,EMP00130,Cybersecurity,8.72,9855.11,Completed
2024-09-30,EMP00130,Technical Skills,5.99,11036.82,Completed
2024-10-31,EMP00130,Communication,11.52,20705.28,Completed
2024-06-30,EMP00131,Leadership,11.94,18273.56,In Progress
2022-07-31,EMP00132,Data Literacy,9.33,17030.27,Completed
2022-08-31,EMP00132,Cybersecurity,19.63,21673.44,Completed
2022-10-31,EMP00132,Technical Skills,7.4,10147.73,Completed
2022-11-30,EMP00132,Technical Skills,17.63,19434.28,Completed
2022-12-31,EMP00132,Technical Skills,11.2,12260.29,In Progress
2023-07-31,EMP00132,Technical Skills,23.33,21920.72,Completed
2023-10-31,EMP00132,Data Literacy,5.91,10560.75,Completed
2024-08-31,EMP00132,Communication,3.87,3395.3,Completed
2022-01-31,EMP00133,Data Literacy,14.17,28941.64,Completed
2022-02-28,EMP00133,Compliance,12.8,7949.13,Completed
2022-08-31,EMP00133,Communication,13.49,25265.48,Completed
2022-09-30,EMP00133,Communication,2.59,2969.59,In Progress
2022-10-31,EMP00133,Communication,18.03,22294.14,Completed
2023-02-28,EMP00133,Compliance,16.79,17328.81,In Progress
2023-04-30,EMP00133,Data Literacy,19.15,32483.15,Completed
2023-08-31,EMP00133,Leadership,9.21,6518.82,Completed
2024-04-30,EMP00133,Communication,8.25,9559.73,Completed
2022-03-31,EMP00134,Compliance,18.83,20858.76,Dropped
2022-08-31,EMP00134,Cybersecurity,11.99,20516.26,Completed
2022-09-30,EMP00134,Compliance,15.56,32944.15,Completed
2022-10-31,EMP00134,Technical Skills,20.1,28688.06,In Progress
2022-11-30,EMP00134,Data Literacy,5.1,3584.18,Completed
2022-12-31,EMP00134,Leadership,8.48,13010.01,In Progress
2023-01-31,EMP00134,Communication,23.71,47593.71,Completed
2023-02-28,EMP00134,Leadership,19.79,22770.76,Completed
2023-04-30,EMP00134,Data Literacy,7.68,10161.18,Completed
2023-06-30,EMP00134,Compliance,23.18,30039.95,Completed
2024-01-31,EMP00134,Leadership,21.06,45247.0,Completed
2024-06-30,EMP00134,Cybersecurity,2.32,3413.3,Completed
2024-08-31,EMP00134,Data Literacy,20.96,23687.45,Completed
2024-10-31,EMP00134,Cybersecurity,13.51,19785.01,Completed
2023-09-30,EMP00135,Technical Skills,20.47,17769.98,Completed
2023-11-30,EMP00135,Communication,22.78,32728.64,Dropped
2024-02-29,EMP00135,Data Literacy,23.87,32773.21,Completed
2024-06-30,EMP00135,Compliance,9.27,10599.79,Completed
2022-03-31,EMP00136,Communication,13.47,23738.35,Completed
2022-05-31,EMP00136,Communication,23.36,34103.25,In Progress
2022-06-30,EMP00136,Communication,20.51,44678.81,Completed
2022-10-31,EMP00136,Communication,21.61,21234.92,Completed
2022-12-31,EMP00136,Leadership,4.83,8449.88,Completed
2023-01-31,EMP00136,Cybersecurity,22.8,31876.19,In Progress
2023-04-30,EMP00136,Technical Skills,9.17,12227.41,Completed
2023-08-31,EMP00136,Cybersecurity,7.28,11696.85,Completed
2023-10-31,EMP00136,Cybersecurity,21.73,18024.15,In Progress
2024-02-29,EMP00136,Cybersecurity,4.98,8013.22,Completed
2024-03-31,EMP00136,Cybersecurity,9.97,19672.69,Completed
2024-04-30,EMP00136,Compliance,2.21,3809.09,Completed
2024-09-30,EMP00136,Data Literacy,3.91,8392.65,Completed
2024-10-31,EMP00136,Data Literacy,17.62,23906.58,Completed
2024-12-31,EMP00136,Leadership,19.01,30240.98,In Progress
2022-05-31,EMP00137,Compliance,14.33,12329.79,Completed
2022-07-31,EMP00137,Data Literacy,21.11,13885.33,Completed
2023-02-28,EMP00137,Technical Skills,7.99,15008.58,Completed
2023-04-30,EMP00137,Cybersecurity,5.38,9318.04,Completed
2023-09-30,EMP00137,Communication,10.78,14430.65,Completed
2024-05-31,EMP00137,Compliance,15.2,9246.57,Completed
2024-06-30,EMP00137,Compliance,14.11,16089.13,Completed
2024-11-30,EMP00137,Compliance,17.29,21749.29,Completed
2024-09-30,EMP00138,Communication,9.32,18867.58,Completed
2024-12-31,EMP00138,Technical Skills,17.47,35404.91,Completed
2023-05-31,EMP00139,Technical Skills,21.3,15374.44,Completed
2023-11-30,EMP00139,Technical Skills,23.83,46753.58,Completed
2024-01-31,EMP00139,Technical Skills,17.19,28236.52,Completed
2024-07-31,EMP00139,Compliance,6.15,11025.77,Completed
2024-08-31,EMP00139,Communication,22.41,25304.28,Completed
2024-10-31,EMP00139,Leadership,23.58,42503.35,Completed
2024-11-30,EMP00139,Data Literacy,2.17,1343.6,Completed
2022-05-31,EMP00140,Cybersecurity,9.43,11769.18,Completed
2022-08-31,EMP00140,Data Literacy,6.44,6061.51,Completed
2022-09-30,EMP00140,Technical Skills,11.12,12467.06,Completed
2023-02-28,EMP00140,Communication,7.67,9287.75,Completed
2023-08-31,EMP00140,Leadership,5.45,9818.41,Completed
2024-01-31,EMP00140,Leadership,18.91,11381.21,Completed
2024-10-31,EMP00140,Data Literacy,13.22,18553.37,Completed
2024-11-30,EMP00140,Leadership,6.26,7099.78,Completed
2024-12-31,EMP00140,Technical Skills,4.75,8498.26,Completed
2022-11-30,EMP00141,Technical Skills,7.98,9891.52,Completed
2022-12-31,EMP00141,Cybersecurity,19.57,38061.69,In Progress
2023-02-28,EMP00141,Compliance,4.85,7044.45,Completed
2023-04-30,EMP00141,Data Literacy,6.57,4313.55,Completed
2023-07-31,EMP00141,Technical Skills,21.51,19674.01,Completed
2023-09-30,EMP00141,Data Literacy,19.62,31916.8,Completed
2024-03-31,EMP00141,Cybersecurity,23.15,33379.45,Completed
2024-11-30,EMP00141,Data Literacy,14.69,21315.6,Completed
2024-12-31,EMP00141,Communication,10.38,8764.11,Completed
2023-05-31,EMP00142,Data Literacy,16.89,21339.02,Completed
2023-06-30,EMP00142,Cybersecurity,8.29,9779.47,Completed
2023-11-30,EMP00142,Cybersecurity,6.5,13448.49,Completed
2023-12-31,EMP00142,Leadership,8.65,12378.46,Completed
2024-04-30,EMP00142,Technical Skills,12.9,26696.96,Completed
2024-05-31,EMP00142,Compliance,18.53,35269.55,Completed
2024-08-31,EMP00142,Compliance,10.56,12161.24,Dropped
2022-03-31,EMP00143,Leadership,17.09,20887.42,In Progress
2022-04-30,EMP00143,Compliance,21.09,26813.24,Completed
2022-07-31,EMP00143,Compliance,2.97,5367.66,Completed
2022-10-31,EMP00143,Technical Skills,10.2,19911.91,Completed
2022-12-31,EMP00143,Communication,6.25,8936.58,Completed
2023-07-31,EMP00143,Compliance,15.43,12902.03,In Progress
2023-10-31,EMP00143,Data Literacy,9.77,20895.61,Completed
2023-12-31,EMP00143,Technical Skills,17.76,17898.86,Completed
2024-03-31,EMP00143,Compliance,12.79,9583.34,Completed
2024-06-30,EMP00143,Compliance,14.84,26606.1,Completed
2024-07-31,EMP00143,Compliance,19.95,22849.73,Completed
2024-09-30,EMP00143,Leadership,3.43,6198.88,In Progress
2023-02-28,EMP00144,Data Literacy,21.26,13770.94,Completed
2023-06-30,EMP00144,Technical Skills,16.63,27484.08,Completed
2023-09-30,EMP00144,Leadership,10.6,20889.3,Completed
2023-10-31,EMP00144,Compliance,16.79,20156.73,Completed
2024-01-31,EMP00144,Data Literacy,4.8,9084.78,Completed
2024-03-31,EMP00144,Compliance,20.08,28023.34,Completed
2024-04-30,EMP00144,Technical Skills,23.14,26479.67,Completed
2024-05-31,EMP00144,Data Literacy,20.43,22355.32,Completed
2024-07-31,EMP00144,Leadership,13.33,15920.65,Completed
2024-08-31,EMP00144,Cybersecurity,5.29,4438.72,Completed
2024-09-30,EMP00144,Compliance,21.56,20739.71,Completed
2024-10-31,EMP00144,Leadership,19.76,28873.26,Completed
2022-10-31,EMP00145,Communication,15.7,23634.14,Completed
2022-02-28,EMP00146,Cybersecurity,18.66,25944.58,Completed
2022-03-31,EMP00146,Leadership,3.49,4695.82,Completed
2022-08-31,EMP00146,Cybersecurity,17.32,24263.35,Completed
2022-12-31,EMP00146,Leadership,2.33,2843.31,Completed
2023-03-31,EMP00146,Leadership,17.04,20105.14,Completed
2023-06-30,EMP00146,Data Literacy,12.92,23026.39,Completed
2023-09-30,EMP00146,Communication,11.62,24045.25,Completed
2023-10-31,EMP00146,Technical Skills,6.72,5754.24,Completed
2024-01-31,EMP00146,Communication,17.91,24969.97,Completed
2024-05-31,EMP00146,Data Literacy,11.14,23766.29,Completed
2024-06-30,EMP00146,Leadership,21.94,38506.37,Completed
2024-07-31,EMP00146,Communication,10.82,23226.17,Completed
2024-08-31,EMP00146,Technical Skills,7.55,15572.88,Completed
2024-11-30,EMP00146,Communication,18.49,24929.92,Completed
2024-12-31,EMP00146,Data Literacy,4.09,6964.76,Completed
2022-02-28,EMP00147,Technical Skills,12.99,23479.8,In Progress
2022-05-31,EMP00147,Compliance,3.96,4003.33,Completed
2022-07-31,EMP00147,Technical Skills,15.37,9541.35,Completed
2022-08-31,EMP00147,Leadership,3.8,5987.52,Completed
2022-09-30,EMP00147,Leadership,7.75,11904.32,Completed
2022-11-30,EMP00147,Communication,17.49,11013.05,In Progress
2023-02-28,EMP00147,Technical Skills,18.76,25005.41,Completed
2023-06-30,EMP00147,Cybersecurity,9.38,15800.86,Completed
2023-09-30,EMP00147,Data Literacy,9.55,14973.64,Completed
2023-12-31,EMP00147,Communication,10.7,14856.64,Completed
2024-04-30,EMP00147,Compliance,16.25,28389.43,Completed
2024-06-30,EMP00147,Data Literacy,7.69,15411.12,Completed
2024-07-31,EMP00147,Communication,13.55,16251.27,Completed
2024-12-31,EMP00147,Leadership,8.91,6000.2,Completed
2022-03-31,EMP00148,Technical Skills,21.88,20009.38,Completed
2022-04-30,EMP00148,Leadership,17.59,31884.5,Completed
2022-05-31,EMP00148,Communication,11.6,15923.34,Completed
2022-07-31,EMP00148,Leadership,11.4,11647.8,Completed
2022-08-31,EMP00148,Communication,13.62,12756.46,Completed
2022-09-30,EMP00148,Communication,20.94,28323.32,Completed
2022-11-30,EMP00148,Cybersecurity,10.78,8104.02,Completed
2023-03-31,EMP00148,Leadership,15.82,28573.08,In Progress
2023-06-30,EMP00148,Data Literacy,20.51,23833.25,Completed
2023-07-31,EMP00148,Compliance,21.31,33932.03,Completed
2023-10-31,EMP00148,Compliance,23.86,48245.21,Completed
2023-11-30,EMP00148,Technical Skills,23.38,15287.69,Completed
2023-12-31,EMP00148,Cybersecurity,9.96,9270.33,In Progress
2022-05-31,EMP00149,Compliance,8.05,15067.67,Completed
2022-06-30,EMP00149,Cybersecurity,15.4,14537.65,Completed
2022-07-31,EMP00149,Cybersecurity,22.84,18821.31,Completed
2023-02-28,EMP00149,Data Literacy,21.15,27464.23,Completed
2023-03-31,EMP00149,Compliance,10.03,13513.02,Completed
2023-04-30,EMP00149,Leadership,22.61,18049.42,Completed
2023-08-31,EMP00149,Compliance,8.34,14502.86,Completed
2024-02-29,EMP00149,Compliance,18.21,34591.25,Completed
2024-07-31,EMP00149,Leadership,22.46,41381.14,Completed
2024-12-31,EMP00149,Compliance,15.69,17854.26,In Progress
2022-10-31,EMP00150,Compliance,10.18,18527.14,Completed
2022-11-30,EMP00150,Leadership,5.56,5871.68,Completed
2022-12-31,EMP00150,Leadership,16.65,33685.58,Completed
2023-04-30,EMP00150,Technical Skills,18.26,26840.08,Completed
2023-06-30,EMP00150,Cybersecurity,14.29,26099.16,Completed
2023-07-31,EMP00150,Data Literacy,19.27,21652.13,Completed
2023-08-31,EMP00150,Data Literacy,5.71,6972.32,Completed
2023-10-31,EMP00150,Communication,10.87,17889.32,Completed
2024-03-31,EMP00150,Leadership,6.98,6508.58,Completed
2024-05-31,EMP00150,Data Literacy,23.2,32323.07,Completed
2024-10-31,EMP00150,Data Literacy,7.81,16783.57,In Progress
2024-11-30,EMP00150,Communication,9.81,19742.59,Completed
2022-01-31,EMP00151,Leadership,15.89,11890.51,Dropped
2022-06-30,EMP00151,Leadership,2.03,1349.73,Dropped
2022-07-31,EMP00151,Technical Skills,4.79,3498.78,Completed
2022-11-30,EMP00151,Compliance,21.88,30765.04,Completed
2022-12-31,EMP00151,Leadership,2.24,4036.2,In Progress
2023-03-31,EMP00151,Compliance,7.48,5529.08,Completed
2023-04-30,EMP00151,Technical Skills,10.84,22188.67,Dropped
2023-05-31,EMP00151,Communication,9.17,10466.6,Completed
2023-06-30,EMP00151,Cybersecurity,8.91,5456.0,In Progress
2023-09-30,EMP00151,Data Literacy,4.01,4863.79,In Progress
2024-02-29,EMP00151,Leadership,17.54,16900.2,Completed
2024-04-30,EMP00151,Cybersecurity,21.93,24491.21,Completed
2024-06-30,EMP00151,Compliance,12.6,23128.48,Completed
2024-07-31,EMP00151,Data Literacy,21.79,17240.88,Completed
2024-08-31,EMP00151,Cybersecurity,5.23,9717.67,Completed
2022-04-30,EMP00152,Cybersecurity,3.52,2434.18,Completed
2022-11-30,EMP00152,Leadership,12.32,24753.07,Completed
2022-12-31,EMP00152,Leadership,18.72,40530.84,In Progress
2023-01-31,EMP00152,Data Literacy,11.59,22915.58,Completed
2023-05-31,EMP00152,Leadership,9.58,18684.97,Completed
2023-07-31,EMP00152,Leadership,4.31,4902.03,Completed
2023-11-30,EMP00152,Cybersecurity,20.35,42612.93,Completed
2024-06-30,EMP00152,Leadership,20.53,32408.96,Completed
2024-09-30,EMP00152,Leadership,7.4,11012.54,Completed
2024-10-31,EMP00152,Cybersecurity,17.92,24441.2,Completed
2022-01-31,EMP00153,Data Literacy,4.73,4247.89,Completed
2022-04-30,EMP00153,Cybersecurity,8.09,14189.49,In Progress
2022-05-31,EMP00153,Compliance,23.24,39702.22,Completed
2022-06-30,EMP00153,Compliance,6.66,10823.72,Completed
2022-07-31,EMP00153,Compliance,12.89,8386.91,Completed
2022-09-30,EMP00153,Data Literacy,7.64,7022.29,Completed
2023-02-28,EMP00153,Data Literacy,5.31,11009.31,Completed
2023-05-31,EMP00153,Data Literacy,8.75,12289.16,Completed
2023-06-30,EMP00153,Compliance,10.7,17428.6,In Progress
2023-08-31,EMP00153,Compliance,8.24,17984.86,Completed
2023-10-31,EMP00153,Communication,20.4,14960.87,Completed
2023-12-31,EMP00153,Data Literacy,13.56,29512.69,Completed
2024-01-31,EMP00153,Compliance,15.91,28336.07,Completed
2024-03-31,EMP00153,Leadership,13.63,28988.71,Completed
